k,head,program,strategy,increase,kl_div,spike
1,"(5, 1)",first_token_bias_L6H9,baseline,0.2945073772552109,0.06391986645758152,False
2,"(7, 2)",first_token_bias_L6H9,baseline,6.5901683395820525,0.13114843145012856,False
3,"(6, 9)",first_token_bias_L6H9,baseline,8.087519011208498,0.17519903928041458,False
4,"(9, 9)",first_token_bias_L6H9,baseline,10.903519358717972,0.3314815163612366,False
5,"(7, 10)",first_token_bias_L7H2,baseline,13.59589213030548,0.34655290842056274,False
6,"(10, 8)",first_token_bias_L9H6,baseline,15.873617690402614,0.5067652761936188,False
7,"(9, 6)",first_token_bias_L9H6,baseline,25.412178592653255,0.5989688634872437,False
8,"(10, 10)",first_token_bias_L9H6,baseline,31.101221777170146,0.5940699428319931,False
9,"(10, 1)",first_token_bias_L9H6,baseline,37.517485692160534,0.6992204487323761,False
10,"(9, 11)",first_token_bias_L9H6,baseline,37.78472436000568,0.8966184258460999,False
11,"(3, 0)",first_token_bias_stochastic_L9H9,baseline,40.232067988602154,1.0531800985336304,False
12,"(6, 10)",first_token_bias_content_focus_L8H3,baseline,54.716460723302205,1.20800119638443,False
13,"(10, 6)",first_token_bias_L9H6,baseline,75.38256977575192,1.529528558254242,False
14,"(3, 4)",first_token_bias_punctuation_L10H8,baseline,93.08687333430561,1.706543207168579,False
15,"(9, 1)",first_token_bias_content_focus_L8H3,baseline,104.83753811467594,1.9204347133636475,False
16,"(11, 9)",first_token_bias_L9H6,baseline,118.79288119550708,2.0515202283859253,False
17,"(9, 4)",first_token_bias_L9H6,baseline,143.49068998112128,2.238701581954956,False
18,"(10, 2)",first_token_bias_content_focus_L8H3,baseline,167.54605580691177,2.4398590326309204,False
19,"(7, 11)",first_token_bias_L9H6,baseline,164.762200701722,2.5975059270858765,False
20,"(5, 9)",first_token_bias_punctuation_L10H8,baseline,175.1206354189107,2.961769461631775,False
21,"(8, 1)",first_token_bias_L6H9,baseline,174.43614973278898,2.7878986597061157,False
22,"(11, 5)",first_token_bias_content_focus_L8H3,baseline,209.12735844863585,2.716879367828369,False
23,"(5, 5)",first_token_bias_L9H6,baseline,197.71067248412862,2.7781946659088135,False
24,"(4, 10)",first_token_bias_punctuation_L10H8,baseline,228.2596607391759,3.0430891513824463,False
25,"(8, 11)",first_token_bias_L10H2,baseline,240.4302072236702,3.289820671081543,False
26,"(6, 2)",first_token_bias_L10H2,baseline,254.47151126477226,3.844361901283264,False
27,"(9, 5)",first_token_bias_L10H2,baseline,298.1078456253238,4.145598649978638,False
28,"(10, 0)",first_token_bias_content_focus_L8H3,baseline,315.90592574965666,4.046908855438232,False
29,"(7, 1)",first_token_bias_punctuation_L10H8,baseline,335.62074565237924,4.1686999797821045,False
30,"(7, 6)",first_token_bias_L10H2,baseline,341.3776072890713,4.1951587200164795,False
31,"(10, 3)",first_token_bias_punctuation_L10H8,baseline,357.0989354199032,4.17921245098114,False
32,"(9, 8)",first_token_bias_L10H2,baseline,401.23350516861905,4.502362251281738,False
33,"(6, 6)",first_token_bias_L10H2,baseline,441.41418997976155,4.707985162734985,False
34,"(7, 7)",first_token_bias_content_focus_L8H3,baseline,436.6673154705579,4.7239954471588135,False
35,"(5, 0)",first_token_bias_content_focus_L8H3,baseline,428.0281677466488,4.583574533462524,False
36,"(8, 3)",first_token_bias_L10H2,baseline,449.942032386853,4.73392391204834,False
37,"(8, 0)",first_token_bias_L10H2,baseline,460.346029362192,4.940659046173096,False
38,"(4, 2)",first_token_bias_L10H2,baseline,441.16470869533373,4.749242067337036,False
39,"(2, 11)",decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,baseline,465.5199810393615,4.80713152885437,False
40,"(4, 4)",decaying_first_token_bias_content_focus_L7H1,baseline,497.6694398230644,4.854097366333008,False
41,"(1, 4)",first_token_bias_content_focus_punctuation_L6H2,baseline,518.5634622010442,4.743642807006836,False
42,"(4, 8)",first_token_bias_L10H2,baseline,497.44505130775747,4.650622606277466,False
43,"(4, 11)",general_pattern_L4H11,baseline,492.4383150846611,4.703758478164673,False
44,"(8, 9)",decaying_first_token_bias_content_focus_L7H1,baseline,524.3972741527048,4.805703401565552,False
45,"(9, 7)",first_token_bias_L10H2,baseline,537.4458101943814,4.726205348968506,False
46,"(10, 7)",first_token_bias_L10H2,baseline,553.8358807162219,4.649906873703003,False
47,"(6, 3)",first_token_bias_L10H2,baseline,588.1826125456741,4.699428081512451,False
48,"(6, 5)",decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,baseline,611.1833225796306,4.893929481506348,False
49,"(5, 8)",first_token_bias_L10H2,baseline,634.8878587659428,4.945392370223999,False
50,"(3, 10)",decaying_first_token_bias_punctuation_L2H6,baseline,651.8358718804609,5.187195062637329,False
51,"(8, 10)",first_token_bias_content_focus_punctuation_L11H2,baseline,653.91971541007,5.260345220565796,False
52,"(8, 6)",first_token_bias_punctuation_L10H8,baseline,696.7912157696795,5.048191785812378,False
53,"(2, 1)",decaying_first_token_bias_content_focus_punctuation_L11H1,baseline,726.8533626680227,5.055959463119507,False
54,"(5, 11)",first_token_bias_punctuation_L11H4,baseline,705.6266825525179,5.080986499786377,False
55,"(4, 6)",first_token_bias_content_focus_L3H5,baseline,737.0244567595685,5.2739646434783936,False
56,"(5, 6)",first_token_bias_content_focus_coreference_L4H4,baseline,770.09313838418,5.550640821456909,False
57,"(10, 11)",first_token_bias_punctuation_L6H10,baseline,773.445150490367,5.759826183319092,False
58,"(8, 2)",first_token_bias_content_focus_L3H5,baseline,821.5278678130801,5.947132349014282,False
59,"(10, 5)",first_token_bias_L10H2,baseline,801.8961186899548,5.806802749633789,False
60,"(3, 5)",first_token_bias_content_focus_L3H5,baseline,794.9464837343719,5.94132924079895,False
61,"(7, 3)",first_token_bias_content_focus_L3H5,baseline,781.8365619316551,6.087047815322876,False
62,"(1, 10)",decaying_stochastic_L1H10,baseline,812.7422704173887,6.215667009353638,False
63,"(7, 4)",first_token_bias_content_focus_L5H9,baseline,841.28538613347,6.106225490570068,False
64,"(4, 7)",decaying_first_token_bias_content_focus_punctuation_L8H10,baseline,777.2227974733887,5.718209266662598,False
65,"(7, 9)",decaying_first_token_bias_content_focus_L4H8,baseline,818.4554645803418,6.048759460449219,False
66,"(6, 1)",decaying_content_focus_L6H1,baseline,849.6418629124678,5.898892879486084,False
67,"(10, 4)",decaying_first_token_bias_content_focus_punctuation_L11H1,baseline,844.0529987407875,5.90675950050354,False
68,"(9, 10)",decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,baseline,885.2657592593262,6.2322611808776855,False
69,"(5, 3)",first_token_bias_content_focus_punctuation_L6H2,baseline,872.3493399242117,5.935210466384888,False
70,"(11, 3)",first_token_bias_content_focus_punctuation_L11H2,baseline,913.1835641159616,5.913070440292358,False
71,"(10, 9)",decaying_first_token_bias_content_focus_L4H8,baseline,895.207427014474,6.016587495803833,False
72,"(11, 11)",decaying_first_token_bias_content_focus_punctuation_L11H1,baseline,921.9844048548046,6.134327173233032,False
73,"(4, 5)",decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,baseline,938.9027839079299,6.23991584777832,False
74,"(6, 8)",first_token_bias_content_focus_punctuation_L0H2,baseline,956.1770575527974,6.3869545459747314,False
75,"(5, 7)",first_token_bias_content_focus_L5H9,baseline,979.5193414129469,6.1512861251831055,False
76,"(2, 0)",decaying_first_token_bias_content_focus_L4H0,baseline,994.6136266120948,5.7144410610198975,False
