k,head,program,strategy,increase,kl_div,spike
1,"(15, 16)",cls_attention,smart,-0.09980278494690037,0.0006977682467550039,False
2,"(11, 8)",cls_attention,smart,-0.25867400798126383,0.001100141752976924,False
3,"(15, 20)",cls_attention,smart,-0.22903484895801318,0.0017656655516475439,False
4,"(8, 11)",cls_attention,smart,-0.40925190881298634,0.001953994040377438,False
5,"(11, 11)",initial_element_reinforcement,smart,-0.5584348382397717,0.0027152347844094037,False
6,"(16, 28)",cls_attention,smart,-0.06108278747731666,0.003942222846671939,False
7,"(14, 13)",initial_element_reinforcement,smart,-0.20961290261686338,0.004502276121638715,False
8,"(15, 21)",initial_element_reinforcement,smart,0.1740586348069335,0.004072560276836157,False
9,"(11, 3)",initial_element_reinforcement,smart,0.4139197073355513,0.0041672776453197,False
10,"(8, 9)",cls_attention,smart,0.4099783926866801,0.004747698036953807,False
11,"(20, 29)",sentence_beginning_salience,smart,0.7880457878165731,0.005246198456734419,False
12,"(15, 19)",initial_element_reinforcement,smart,0.5382012644112455,0.0049810617230832575,False
13,"(15, 8)",initial_element_reinforcement,smart,0.5039330056741221,0.006290447339415551,False
14,"(18, 21)",sentence_beginning_salience,smart,0.753578751360108,0.006732699414715171,False
15,"(3, 4)",sentence_beginning_salience,smart,0.7316440200132587,0.007324046548455953,False
16,"(11, 15)",sentence_beginning_salience,smart,0.9822333571519403,0.009807950165122748,False
17,"(4, 8)",sentence_beginning_salience,smart,1.0605689431745875,0.010127761028707027,False
18,"(3, 0)",sentence_beginning_salience,smart,1.051930701944411,0.011114073358476162,False
19,"(6, 25)",initial_element_reinforcement,smart,0.8081953382467544,0.010962077602744102,False
20,"(20, 16)",sentence_beginning_salience,smart,0.6751923240636121,0.011220280453562737,False
21,"(9, 0)",sentence_beginning_salience,smart,0.8737579281187633,0.012350669503211975,False
22,"(3, 7)",sentence_beginning_salience,smart,1.3313853633631794,0.012720747012645006,False
23,"(18, 30)",sentence_beginning_salience,smart,1.221400962122002,0.012787475902587175,False
24,"(18, 5)",sentence_beginning_salience,smart,1.3356031276604032,0.01410504262894392,False
25,"(18, 7)",sentence_beginning_salience,smart,1.6200349054550194,0.016637702845036982,False
26,"(19, 8)",sentence_beginning_salience,smart,1.3594073042616481,0.01860947385430336,False
27,"(8, 14)",sentence_beginning_salience,smart,1.633303432057484,0.019554812647402286,False
28,"(19, 11)",sentence_beginning_salience,smart,1.3667904770488868,0.019776569679379463,False
29,"(8, 12)",initial_element_reinforcement,smart,1.2687559414205904,0.018287269212305547,False
30,"(3, 1)",sentence_beginning_salience,smart,1.4019447666032785,0.016862763091921806,False
31,"(17, 3)",sentence_beginning_salience,smart,1.4933499253017146,0.01838231850415468,False
32,"(15, 18)",sentence_beginning_salience,smart,1.7775262313116091,0.019144776090979577,False
33,"(21, 6)",sentence_beginning_salience,smart,1.7118711266535898,0.019540871679782867,False
34,"(15, 10)",sentence_beginning_salience,smart,1.396362405604305,0.020335070602595807,False
