k,head,program,strategy,increase,kl_div,spike
1,"(5, 1)",first_token_bias_L6H9,smart,1.5367871684853256,0.0010435297153890133,False
2,"(7, 2)",first_token_bias_L6H9,smart,2.2011081312858405,0.003003865364007652,False
3,"(6, 9)",first_token_bias_L6H9,smart,3.162656132944911,0.005532694049179554,False
4,"(9, 9)",first_token_bias_L6H9,smart,3.3901017064841117,0.008295235922560096,False
5,"(7, 10)",first_token_bias_L7H2,smart,3.447491235752345,0.009468089789152145,False
6,"(10, 8)",first_token_bias_L9H6,smart,3.2429593106856687,0.011573036201298237,False
7,"(9, 6)",first_token_bias_L9H6,smart,3.4124964560667417,0.011626365594565868,False
8,"(10, 10)",first_token_bias_L9H6,smart,3.6722539953356397,0.013693241402506828,False
9,"(10, 1)",first_token_bias_L9H6,smart,4.372591905837942,0.013602471444755793,False
10,"(9, 11)",first_token_bias_L9H6,smart,4.488364320124912,0.015344176441431046,False
11,"(3, 0)",first_token_bias_stochastic_L9H9,smart,5.189841564720627,0.017009743489325047,False
12,"(6, 10)",first_token_bias_content_focus_L8H3,smart,4.577103669952965,0.019287469796836376,False
13,"(10, 6)",first_token_bias_L9H6,smart,4.146647345688617,0.025960355065762997,False
14,"(3, 4)",first_token_bias_punctuation_L10H8,smart,3.6699528491983746,0.02685781568288803,False
15,"(9, 1)",first_token_bias_content_focus_L8H3,smart,4.5559317995259665,0.02896866388618946,False
16,"(11, 9)",first_token_bias_L9H6,smart,5.277504392517839,0.030627742409706116,False
17,"(9, 4)",first_token_bias_L9H6,smart,3.890080541594275,0.03517215233296156,False
18,"(10, 2)",first_token_bias_content_focus_L8H3,smart,3.376474963744005,0.03841147664934397,False
19,"(7, 11)",first_token_bias_L9H6,smart,4.072814803848088,0.03844278957694769,False
20,"(5, 9)",first_token_bias_punctuation_L10H8,smart,4.597606627865449,0.042575957253575325,False
21,"(8, 1)",first_token_bias_L6H9,smart,5.535100038485766,0.045746222138404846,False
22,"(11, 5)",first_token_bias_content_focus_L8H3,smart,5.794378335595521,0.04596039652824402,False
23,"(5, 5)",first_token_bias_L9H6,smart,5.193654844356826,0.047098588198423386,False
24,"(4, 10)",first_token_bias_punctuation_L10H8,smart,5.979887655573803,0.046560702845454216,False
25,"(0, 1)",decaying_content_focus_punctuation_coreference_L0H1,smart,5.994470383005435,0.04654947109520435,False
26,"(8, 11)",first_token_bias_L10H2,smart,5.812846528199489,0.04728948324918747,False
27,"(6, 2)",first_token_bias_L10H2,smart,5.173343311419969,0.048456382006406784,False
28,"(9, 5)",first_token_bias_L10H2,smart,4.930112501722512,0.045017924159765244,False
29,"(10, 0)",first_token_bias_content_focus_L8H3,smart,3.9453603684897827,0.04657261446118355,False
30,"(11, 1)",first_token_bias_L10H2,smart,3.969557455756692,0.048480818048119545,False
31,"(7, 1)",first_token_bias_punctuation_L10H8,smart,4.764522511925074,0.04909169673919678,False
32,"(7, 6)",first_token_bias_L10H2,smart,5.194129193891053,0.04860025644302368,False
33,"(10, 3)",first_token_bias_punctuation_L10H8,smart,5.357227223628898,0.05465599708259106,False
34,"(9, 8)",first_token_bias_L10H2,smart,5.344332785758592,0.0516798198223114,False
35,"(6, 6)",first_token_bias_L10H2,smart,4.659404141196053,0.053691135719418526,False
36,"(7, 7)",first_token_bias_content_focus_L8H3,smart,5.0936698560134035,0.06467141397297382,False
37,"(5, 0)",first_token_bias_content_focus_L8H3,smart,5.55385714274586,0.07259376533329487,False
38,"(8, 3)",first_token_bias_L10H2,smart,5.481469393765978,0.07259388267993927,False
39,"(8, 0)",first_token_bias_L10H2,smart,5.116517794548092,0.07354275323450565,False
40,"(11, 7)",first_token_bias_L10H2,smart,6.832545690642839,0.08490042015910149,False
41,"(11, 4)",decaying_first_token_bias_content_focus_punctuation_L11H1,smart,6.863613304655242,0.09122985228896141,False
42,"(4, 2)",first_token_bias_L10H2,smart,7.1332835655114595,0.09263064712285995,False
43,"(2, 11)",decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,smart,5.978993041104935,0.09138652682304382,False
44,"(4, 4)",decaying_first_token_bias_content_focus_L7H1,smart,6.491096017654598,0.09693194925785065,False
45,"(1, 4)",first_token_bias_content_focus_punctuation_L6H2,smart,7.005048899750144,0.09754319489002228,False
46,"(4, 8)",first_token_bias_L10H2,smart,8.780545698719893,0.09122157096862793,False
47,"(1, 7)",first_token_bias_content_focus_punctuation_L6H2,smart,8.42057664826319,0.09192636609077454,False
48,"(4, 11)",general_pattern_L4H11,smart,8.766610921970429,0.09114307910203934,False
49,"(8, 9)",decaying_first_token_bias_content_focus_L7H1,smart,10.46021339884181,0.09621475264430046,False
50,"(9, 7)",first_token_bias_L10H2,smart,10.517385833516125,0.10215679556131363,False
51,"(10, 7)",first_token_bias_L10H2,smart,11.774385479066845,0.11597686260938644,False
52,"(6, 3)",first_token_bias_L10H2,smart,12.265755288730261,0.10220561176538467,False
53,"(6, 5)",decaying_first_token_bias_content_focus_punctuation_stochastic_L11H7,smart,12.201000154768836,0.10583330690860748,False
54,"(5, 8)",first_token_bias_L10H2,smart,13.546905669120676,0.10274816676974297,False
55,"(9, 2)",first_token_bias_L10H2,smart,13.689066797153304,0.10267957672476768,False
56,"(1, 8)",first_token_bias_content_focus_punctuation_L6H2,smart,13.39259133396651,0.09988189488649368,False
57,"(9, 0)",first_token_bias_content_focus_L5H9,smart,14.413606995869294,0.10463549569249153,False
58,"(3, 10)",decaying_first_token_bias_punctuation_L2H6,smart,15.63409302389478,0.10331622138619423,False
59,"(8, 10)",first_token_bias_content_focus_punctuation_L11H2,smart,16.35903328849967,0.11286750063300133,False
60,"(8, 6)",first_token_bias_punctuation_L10H8,smart,17.074581233638696,0.13110684230923653,False
61,"(2, 1)",decaying_first_token_bias_content_focus_punctuation_L11H1,smart,18.591211357760795,0.13320742547512054,False
62,"(5, 11)",first_token_bias_punctuation_L11H4,smart,18.39551509675793,0.13146555796265602,False
63,"(1, 9)",first_token_bias_content_focus_punctuation_L6H2,smart,18.17461328506939,0.1357497274875641,False
64,"(1, 3)",first_token_bias_L9H5,smart,18.513634132182048,0.13832160830497742,False
65,"(4, 6)",first_token_bias_content_focus_L3H5,smart,17.51853263186524,0.15188218653202057,False
66,"(5, 6)",first_token_bias_content_focus_coreference_L4H4,smart,18.961528631115282,0.15628083050251007,False
67,"(0, 3)",decaying_content_focus_punctuation_coreference_L0H1,smart,18.939870464647544,0.15637541562318802,False
68,"(1, 6)",first_token_bias_content_focus_punctuation_L6H2,smart,18.968186550936398,0.16168618947267532,False
69,"(10, 11)",first_token_bias_punctuation_L6H10,smart,19.227627730458487,0.16944019496440887,False
70,"(2, 7)",decaying_first_token_bias_content_focus_L11H3,smart,19.706995189893156,0.1715957298874855,False
71,"(8, 2)",first_token_bias_content_focus_L3H5,smart,20.890729685177234,0.18798861280083656,False
72,"(6, 4)",decaying_first_token_bias_content_focus_punctuation_L11H1,smart,21.703044641070054,0.18915589153766632,False
73,"(10, 5)",first_token_bias_L10H2,smart,22.2376229324155,0.19769924506545067,False
74,"(3, 5)",first_token_bias_content_focus_L3H5,smart,23.05534629410307,0.1979624330997467,False
