layer,head,program_idx,best_program,best_iou,intended_program,intended_iou
0,0,91,first_token_bias_content_focus_L8H8,0.5569686851748294,decaying_first_token_bias_content_focus_L0H0,
0,1,5,decaying_content_focus_punctuation_coreference_L0H1,0.8430004978617902,decaying_content_focus_punctuation_coreference_L0H1,
0,2,112,first_token_bias_content_focus_punctuation_L6H2,0.5865278557124209,first_token_bias_content_focus_punctuation_L0H2,
0,3,5,decaying_content_focus_punctuation_coreference_L0H1,0.6792799044061545,first_token_bias_content_focus_punctuation_stochastic_L0H3,
0,4,122,first_token_bias_content_focus_punctuation_stochastic_L0H3,0.5133115827566643,first_token_bias_content_focus_L0H4,
0,5,5,decaying_content_focus_punctuation_coreference_L0H1,0.5917361736907834,first_token_bias_content_focus_punctuation_L0H5,
0,6,91,first_token_bias_content_focus_L8H8,0.5381728724183931,first_token_bias_content_focus_L0H6,
0,7,45,decaying_stochastic_L1H10,0.5763629956425997,first_token_bias_content_focus_punctuation_L0H7,
0,8,28,decaying_first_token_bias_content_focus_punctuation_L0H8,0.5288844814112968,decaying_first_token_bias_content_focus_punctuation_L0H8,
0,9,112,first_token_bias_content_focus_punctuation_L6H2,0.6491255435870702,first_token_bias_L0H9,
0,10,112,first_token_bias_content_focus_punctuation_L6H2,0.5739806114465289,decaying_first_token_bias_content_focus_L0H10,
0,11,112,first_token_bias_content_focus_punctuation_L6H2,0.6286727492129764,decaying_first_token_bias_content_focus_punctuation_L0H11,
1,0,13,decaying_first_token_bias_content_focus_L11H3,0.5506410395848202,decaying_first_token_bias_L1H0,
1,1,34,decaying_first_token_bias_content_focus_punctuation_L2H5,0.5955128943200425,first_token_bias_content_focus_punctuation_L1H1,
1,2,34,decaying_first_token_bias_content_focus_punctuation_L2H5,0.6328252267050177,first_token_bias_L1H2,
1,3,64,first_token_bias_L9H5,0.6900416417265937,decaying_first_token_bias_L1H3,
1,4,112,first_token_bias_content_focus_punctuation_L6H2,0.7609968203812159,decaying_first_token_bias_content_focus_punctuation_L1H4,
1,5,112,first_token_bias_content_focus_punctuation_L6H2,0.5331245840142136,first_token_bias_punctuation_L1H5,
1,6,112,first_token_bias_content_focus_punctuation_L6H2,0.6761081108814794,first_token_bias_punctuation_stochastic_L1H6,
1,7,112,first_token_bias_content_focus_punctuation_L6H2,0.7487628842329932,first_token_bias_content_focus_punctuation_L1H7,
1,8,112,first_token_bias_content_focus_punctuation_L6H2,0.7103978697718187,first_token_bias_punctuation_L1H8,
1,9,112,first_token_bias_content_focus_punctuation_L6H2,0.6902073235743026,first_token_bias_L1H9,
1,10,45,decaying_stochastic_L1H10,0.6569854872445944,decaying_stochastic_L1H10,
1,11,94,first_token_bias_content_focus_punctuation_L0H5,0.5832943852411223,decaying_content_focus_punctuation_L1H11,
2,0,17,decaying_first_token_bias_content_focus_L4H0,0.5834763194426527,decaying_first_token_bias_content_focus_punctuation_L2H0,
2,1,30,decaying_first_token_bias_content_focus_punctuation_L11H1,0.6987419598862281,first_token_bias_punctuation_L2H1,
