k,head,program,strategy,increase,spike
1,"(0, 2)",previous_attention,smart,-0.0904360206001941,False
2,"(0, 0)",parenthetical_insertion,smart,-0.1312192764792313,False
3,"(0, 1)",parenthetical_insertion,smart,-0.0041036172015078,False
4,"(0, 5)",parenthetical_insertion,smart,-0.2005043056063356,False
5,"(0, 4)",parenthetical_insertion,smart,-0.2291736668626368,False
6,"(0, 3)",previous_attention,smart,-0.1524395099612752,False
7,"(0, 6)",parenthetical_insertion,smart,-0.0812006826819134,False
8,"(0, 8)",parenthetical_insertion,smart,0.0023762308522699,False
9,"(0, 10)",next_attention,smart,0.9552152020786152,False
10,"(0, 11)",relative_position_attention,smart,1.1765278535458468,False
11,"(0, 9)",relative_position_attention,smart,0.6932202779071733,False
12,"(1, 1)",next_attention,smart,6.494149406677027,False
13,"(0, 7)",parenthetical_insertion,smart,6.453607936442185,False
14,"(1, 0)",relative_position_attention,smart,6.516284463206946,False
15,"(1, 3)",relative_position_attention,smart,6.692726736022489,False
16,"(1, 2)",relative_position_attention,smart,6.450065283035469,False
17,"(1, 4)",previous_attention,smart,15.407833434657118,False
18,"(1, 5)",relative_position_attention,smart,15.602282000840836,False
19,"(1, 7)",appositive_phrase_attention,smart,15.601524794106911,False
20,"(1, 9)",relative_position_attention,smart,15.98164130705004,False
21,"(1, 8)",relative_position_attention,smart,16.146329972621004,False
22,"(1, 10)",sentence_position_preference,smart,16.5218936183288,False
23,"(2, 1)",sentence_level_attention,smart,17.458013977493515,False
24,"(1, 11)",relative_position_attention,smart,18.29001378532229,False
25,"(2, 2)",sentence_level_attention,smart,20.1347743720878,False
26,"(2, 8)",relative_position_attention,smart,22.06194877132973,False
27,"(2, 6)",lexical_diversity_focus,smart,22.01776570827544,False
28,"(2, 7)",relative_position_attention,smart,23.394511479260128,False
29,"(2, 4)",relative_position_attention,smart,24.421024015338997,False
30,"(2, 3)",relative_position_attention,smart,26.577215409196548,False
31,"(2, 5)",relative_position_attention,smart,27.1877313233933,False
