layer,head,program_idx,sentence_idx,iou_score
0,0,0,0,0.401
0,0,0,1,0.398
0,0,0,2,0.361
0,0,0,3,0.37
0,0,0,4,0.396
0,1,0,0,0.403
0,1,0,1,0.4
0,1,0,2,0.361
0,1,0,3,0.372
0,1,0,4,0.398
0,2,0,0,0.399
0,2,0,1,0.393
0,2,0,2,0.358
0,2,0,3,0.368
0,2,0,4,0.389
0,3,0,0,0.403
0,3,0,1,0.4
0,3,0,2,0.362
0,3,0,3,0.373
0,3,0,4,0.398
0,4,0,0,0.405
0,4,0,1,0.402
0,4,0,2,0.362
0,4,0,3,0.374
0,4,0,4,0.399
0,5,0,0,0.403
0,5,0,1,0.4
0,5,0,2,0.361
0,5,0,3,0.372
0,5,0,4,0.397
0,6,0,0,0.402
0,6,0,1,0.394
0,6,0,2,0.361
0,6,0,3,0.371
0,6,0,4,0.394
0,7,0,0,0.404
0,7,0,1,0.401
0,7,0,2,0.361
0,7,0,3,0.373
0,7,0,4,0.398
0,8,0,0,0.4
0,8,0,1,0.391
0,8,0,2,0.356
0,8,0,3,0.368
0,8,0,4,0.389
0,9,0,0,0.402
0,9,0,1,0.396
0,9,0,2,0.359
0,9,0,3,0.367
0,9,0,4,0.387
0,10,0,0,0.388
0,10,0,1,0.378
0,10,0,2,0.349
0,10,0,3,0.356
0,10,0,4,0.38
0,11,0,0,0.403
0,11,0,1,0.391
0,11,0,2,0.354
0,11,0,3,0.365
0,11,0,4,0.389
0,12,0,0,0.39
0,12,0,1,0.38
0,12,0,2,0.344
0,12,0,3,0.367
0,12,0,4,0.388
0,13,0,0,0.384
0,13,0,1,0.376
0,13,0,2,0.334
0,13,0,3,0.356
0,13,0,4,0.382
0,14,0,0,0.396
0,14,0,1,0.397
0,14,0,2,0.361
0,14,0,3,0.368
0,14,0,4,0.39
0,15,0,0,0.404
0,15,0,1,0.401
0,15,0,2,0.362
0,15,0,3,0.373
0,15,0,4,0.395
0,16,0,0,0.334
0,16,0,1,0.307
0,16,0,2,0.298
0,16,0,3,0.298
0,16,0,4,0.3
0,17,0,0,0.316
0,17,0,1,0.297
0,17,0,2,0.282
0,17,0,3,0.275
0,17,0,4,0.293
0,18,0,0,0.363
0,18,0,1,0.353
0,18,0,2,0.32
0,18,0,3,0.323
0,18,0,4,0.347
0,19,0,0,0.303
0,19,0,1,0.296
0,19,0,2,0.27
0,19,0,3,0.303
0,19,0,4,0.293
0,20,0,0,0.205
0,20,0,1,0.215
0,20,0,2,0.19
0,20,0,3,0.2
0,20,0,4,0.208
0,21,0,0,0.338
0,21,0,1,0.335
0,21,0,2,0.272
0,21,0,3,0.313
0,21,0,4,0.331
0,22,0,0,0.241
0,22,0,1,0.232
0,22,0,2,0.19
0,22,0,3,0.208
0,22,0,4,0.239
0,23,0,0,0.235
0,23,0,1,0.213
0,23,0,2,0.201
0,23,0,3,0.171
0,23,0,4,0.192
0,24,0,0,0.388
0,24,0,1,0.376
0,24,0,2,0.348
0,24,0,3,0.349
0,24,0,4,0.373
0,25,0,0,0.377
0,25,0,1,0.368
0,25,0,2,0.334
0,25,0,3,0.342
0,25,0,4,0.363
0,26,0,0,0.336
0,26,0,1,0.335
0,26,0,2,0.29
0,26,0,3,0.305
0,26,0,4,0.332
0,27,0,0,0.383
0,27,0,1,0.384
0,27,0,2,0.349
0,27,0,3,0.358
0,27,0,4,0.382
0,28,0,0,0.379
0,28,0,1,0.37
0,28,0,2,0.334
0,28,0,3,0.344
0,28,0,4,0.368
0,29,0,0,0.38
0,29,0,1,0.369
0,29,0,2,0.327
0,29,0,3,0.338
0,29,0,4,0.367
0,30,0,0,0.321
0,30,0,1,0.315
0,30,0,2,0.303
0,30,0,3,0.293
0,30,0,4,0.321
0,31,0,0,0.381
0,31,0,1,0.374
0,31,0,2,0.346
0,31,0,3,0.351
0,31,0,4,0.376
1,0,0,0,0.268
1,0,0,1,0.26
1,0,0,2,0.218
1,0,0,3,0.213
1,0,0,4,0.272
1,1,0,0,0.264
1,1,0,1,0.245
1,1,0,2,0.22
1,1,0,3,0.23
1,1,0,4,0.252
1,2,0,0,0.253
1,2,0,1,0.252
1,2,0,2,0.216
1,2,0,3,0.23
1,2,0,4,0.259
1,3,0,0,0.247
1,3,0,1,0.234
1,3,0,2,0.205
1,3,0,3,0.203
1,3,0,4,0.229
1,4,0,0,0.277
1,4,0,1,0.258
1,4,0,2,0.23
1,4,0,3,0.238
1,4,0,4,0.281
1,5,0,0,0.322
1,5,0,1,0.324
1,5,0,2,0.272
1,5,0,3,0.3
1,5,0,4,0.315
1,6,0,0,0.255
1,6,0,1,0.24
1,6,0,2,0.208
1,6,0,3,0.21
1,6,0,4,0.256
1,7,0,0,0.26
1,7,0,1,0.257
1,7,0,2,0.211
1,7,0,3,0.225
1,7,0,4,0.283
1,8,0,0,0.3
1,8,0,1,0.307
1,8,0,2,0.295
1,8,0,3,0.276
1,8,0,4,0.304
1,9,0,0,0.217
1,9,0,1,0.23
1,9,0,2,0.206
1,9,0,3,0.19
1,9,0,4,0.213
1,10,0,0,0.251
1,10,0,1,0.266
1,10,0,2,0.266
1,10,0,3,0.256
1,10,0,4,0.29
1,11,0,0,0.346
1,11,0,1,0.36
1,11,0,2,0.314
1,11,0,3,0.311
1,11,0,4,0.349
1,12,0,0,0.279
1,12,0,1,0.297
1,12,0,2,0.284
1,12,0,3,0.275
1,12,0,4,0.299
1,13,0,0,0.291
1,13,0,1,0.304
1,13,0,2,0.297
1,13,0,3,0.291
1,13,0,4,0.322
1,14,0,0,0.321
1,14,0,1,0.317
1,14,0,2,0.295
1,14,0,3,0.282
1,14,0,4,0.298
1,15,0,0,0.263
1,15,0,1,0.295
1,15,0,2,0.271
1,15,0,3,0.265
1,15,0,4,0.281
1,16,0,0,0.17
1,16,0,1,0.175
1,16,0,2,0.164
1,16,0,3,0.124
1,16,0,4,0.135
1,17,0,0,0.162
1,17,0,1,0.165
1,17,0,2,0.159
1,17,0,3,0.129
1,17,0,4,0.136
1,18,0,0,0.166
1,18,0,1,0.171
1,18,0,2,0.16
1,18,0,3,0.127
1,18,0,4,0.135
1,19,0,0,0.158
1,19,0,1,0.158
1,19,0,2,0.141
1,19,0,3,0.117
1,19,0,4,0.118
1,20,0,0,0.177
1,20,0,1,0.174
1,20,0,2,0.169
1,20,0,3,0.132
1,20,0,4,0.14
1,21,0,0,0.166
1,21,0,1,0.169
1,21,0,2,0.162
1,21,0,3,0.13
1,21,0,4,0.135
1,22,0,0,0.175
1,22,0,1,0.181
1,22,0,2,0.165
1,22,0,3,0.131
1,22,0,4,0.142
1,23,0,0,0.17
1,23,0,1,0.172
1,23,0,2,0.166
1,23,0,3,0.127
1,23,0,4,0.136
1,24,0,0,0.273
1,24,0,1,0.268
1,24,0,2,0.243
1,24,0,3,0.219
1,24,0,4,0.278
1,25,0,0,0.235
1,25,0,1,0.234
1,25,0,2,0.205
1,25,0,3,0.201
1,25,0,4,0.208
1,26,0,0,0.232
1,26,0,1,0.222
1,26,0,2,0.214
1,26,0,3,0.171
1,26,0,4,0.228
1,27,0,0,0.239
1,27,0,1,0.219
1,27,0,2,0.232
1,27,0,3,0.183
1,27,0,4,0.218
1,28,0,0,0.224
1,28,0,1,0.201
1,28,0,2,0.215
1,28,0,3,0.174
1,28,0,4,0.21
1,29,0,0,0.231
1,29,0,1,0.226
1,29,0,2,0.225
1,29,0,3,0.189
1,29,0,4,0.215
1,30,0,0,0.116
1,30,0,1,0.107
1,30,0,2,0.108
1,30,0,3,0.094
1,30,0,4,0.102
1,31,0,0,0.339
1,31,0,1,0.344
1,31,0,2,0.29
1,31,0,3,0.305
1,31,0,4,0.348
2,0,0,0,0.312
2,0,0,1,0.315
2,0,0,2,0.29
2,0,0,3,0.284
2,0,0,4,0.309
2,1,0,0,0.194
2,1,0,1,0.2
2,1,0,2,0.187
2,1,0,3,0.172
2,1,0,4,0.193
2,2,0,0,0.282
2,2,0,1,0.263
2,2,0,2,0.274
2,2,0,3,0.244
2,2,0,4,0.278
2,3,0,0,0.264
2,3,0,1,0.265
2,3,0,2,0.22
2,3,0,3,0.214
2,3,0,4,0.234
2,4,0,0,0.322
2,4,0,1,0.329
2,4,0,2,0.299
2,4,0,3,0.295
2,4,0,4,0.316
2,5,0,0,0.299
2,5,0,1,0.292
2,5,0,2,0.261
2,5,0,3,0.256
2,5,0,4,0.282
2,6,0,0,0.287
2,6,0,1,0.266
2,6,0,2,0.261
2,6,0,3,0.256
2,6,0,4,0.289
2,7,0,0,0.31
2,7,0,1,0.313
2,7,0,2,0.296
2,7,0,3,0.279
2,7,0,4,0.317
2,8,0,0,0.288
2,8,0,1,0.305
2,8,0,2,0.24
2,8,0,3,0.256
2,8,0,4,0.323
2,9,0,0,0.272
2,9,0,1,0.285
2,9,0,2,0.239
2,9,0,3,0.249
2,9,0,4,0.32
2,10,0,0,0.273
2,10,0,1,0.287
2,10,0,2,0.24
2,10,0,3,0.239
2,10,0,4,0.316
2,11,0,0,0.273
2,11,0,1,0.292
2,11,0,2,0.236
2,11,0,3,0.256
2,11,0,4,0.326
2,12,0,0,0.272
2,12,0,1,0.279
2,12,0,2,0.221
2,12,0,3,0.229
2,12,0,4,0.313
2,13,0,0,0.259
2,13,0,1,0.278
2,13,0,2,0.224
2,13,0,3,0.233
2,13,0,4,0.301
2,14,0,0,0.307
2,14,0,1,0.306
2,14,0,2,0.278
2,14,0,3,0.287
2,14,0,4,0.32
2,15,0,0,0.27
2,15,0,1,0.282
2,15,0,2,0.232
2,15,0,3,0.239
2,15,0,4,0.314
2,16,0,0,0.216
2,16,0,1,0.248
2,16,0,2,0.214
2,16,0,3,0.202
2,16,0,4,0.204
2,17,0,0,0.222
2,17,0,1,0.248
2,17,0,2,0.206
2,17,0,3,0.199
2,17,0,4,0.222
2,18,0,0,0.175
2,18,0,1,0.196
2,18,0,2,0.171
2,18,0,3,0.145
2,18,0,4,0.164
2,19,0,0,0.208
2,19,0,1,0.227
2,19,0,2,0.182
2,19,0,3,0.168
2,19,0,4,0.196
2,20,0,0,0.214
2,20,0,1,0.235
2,20,0,2,0.192
2,20,0,3,0.178
2,20,0,4,0.205
2,21,0,0,0.178
2,21,0,1,0.178
2,21,0,2,0.164
2,21,0,3,0.137
2,21,0,4,0.141
2,22,0,0,0.194
2,22,0,1,0.204
2,22,0,2,0.187
2,22,0,3,0.156
2,22,0,4,0.167
2,23,0,0,0.223
2,23,0,1,0.233
2,23,0,2,0.205
2,23,0,3,0.186
2,23,0,4,0.199
2,24,0,0,0.194
2,24,0,1,0.205
2,24,0,2,0.178
2,24,0,3,0.159
2,24,0,4,0.205
2,25,0,0,0.17
2,25,0,1,0.197
2,25,0,2,0.191
2,25,0,3,0.167
2,25,0,4,0.22
2,26,0,0,0.178
2,26,0,1,0.193
2,26,0,2,0.189
2,26,0,3,0.159
2,26,0,4,0.208
2,27,0,0,0.208
2,27,0,1,0.224
2,27,0,2,0.209
2,27,0,3,0.162
2,27,0,4,0.219
2,28,0,0,0.168
2,28,0,1,0.201
2,28,0,2,0.194
2,28,0,3,0.16
2,28,0,4,0.216
2,29,0,0,0.183
2,29,0,1,0.207
2,29,0,2,0.191
2,29,0,3,0.174
2,29,0,4,0.216
2,30,0,0,0.162
2,30,0,1,0.18
2,30,0,2,0.182
2,30,0,3,0.147
2,30,0,4,0.204
2,31,0,0,0.176
2,31,0,1,0.194
2,31,0,2,0.191
2,31,0,3,0.157
2,31,0,4,0.216
3,0,0,0,0.1
3,0,0,1,0.097
3,0,0,2,0.095
3,0,0,3,0.082
3,0,0,4,0.082
3,1,0,0,0.102
3,1,0,1,0.097
3,1,0,2,0.103
3,1,0,3,0.086
3,1,0,4,0.084
3,2,0,0,0.107
3,2,0,1,0.109
3,2,0,2,0.107
3,2,0,3,0.095
3,2,0,4,0.1
3,3,0,0,0.128
3,3,0,1,0.12
3,3,0,2,0.112
3,3,0,3,0.096
3,3,0,4,0.103
3,4,0,0,0.102
3,4,0,1,0.094
3,4,0,2,0.098
3,4,0,3,0.084
3,4,0,4,0.083
3,5,0,0,0.107
3,5,0,1,0.104
3,5,0,2,0.108
3,5,0,3,0.09
3,5,0,4,0.087
3,6,0,0,0.11
3,6,0,1,0.106
3,6,0,2,0.106
3,6,0,3,0.086
3,6,0,4,0.087
3,7,0,0,0.101
3,7,0,1,0.095
3,7,0,2,0.097
3,7,0,3,0.082
3,7,0,4,0.081
3,8,0,0,0.146
3,8,0,1,0.15
3,8,0,2,0.139
3,8,0,3,0.114
3,8,0,4,0.131
3,9,0,0,0.151
3,9,0,1,0.144
3,9,0,2,0.145
3,9,0,3,0.129
3,9,0,4,0.144
3,10,0,0,0.146
3,10,0,1,0.154
3,10,0,2,0.129
3,10,0,3,0.127
3,10,0,4,0.139
3,11,0,0,0.135
3,11,0,1,0.136
3,11,0,2,0.129
3,11,0,3,0.115
3,11,0,4,0.115
3,12,0,0,0.124
3,12,0,1,0.122
3,12,0,2,0.119
3,12,0,3,0.103
3,12,0,4,0.11
3,13,0,0,0.139
3,13,0,1,0.17
3,13,0,2,0.134
3,13,0,3,0.129
3,13,0,4,0.142
3,14,0,0,0.139
3,14,0,1,0.157
3,14,0,2,0.142
3,14,0,3,0.12
3,14,0,4,0.112
3,15,0,0,0.154
3,15,0,1,0.157
3,15,0,2,0.156
3,15,0,3,0.129
3,15,0,4,0.132
3,16,0,0,0.102
3,16,0,1,0.112
3,16,0,2,0.101
3,16,0,3,0.089
3,16,0,4,0.091
3,17,0,0,0.146
3,17,0,1,0.14
3,17,0,2,0.123
3,17,0,3,0.113
3,17,0,4,0.135
3,18,0,0,0.112
3,18,0,1,0.126
3,18,0,2,0.103
3,18,0,3,0.117
3,18,0,4,0.129
3,19,0,0,0.111
3,19,0,1,0.109
3,19,0,2,0.103
3,19,0,3,0.09
3,19,0,4,0.106
3,20,0,0,0.135
3,20,0,1,0.145
3,20,0,2,0.12
3,20,0,3,0.124
3,20,0,4,0.126
3,21,0,0,0.111
3,21,0,1,0.146
3,21,0,2,0.098
3,21,0,3,0.112
3,21,0,4,0.127
3,22,0,0,0.107
3,22,0,1,0.115
3,22,0,2,0.1
3,22,0,3,0.094
3,22,0,4,0.098
3,23,0,0,0.157
3,23,0,1,0.164
3,23,0,2,0.155
3,23,0,3,0.158
3,23,0,4,0.153
3,24,0,0,0.198
3,24,0,1,0.175
3,24,0,2,0.204
3,24,0,3,0.174
3,24,0,4,0.182
3,25,0,0,0.155
3,25,0,1,0.165
3,25,0,2,0.118
3,25,0,3,0.124
3,25,0,4,0.128
3,26,0,0,0.151
3,26,0,1,0.168
3,26,0,2,0.144
3,26,0,3,0.162
3,26,0,4,0.134
3,27,0,0,0.149
3,27,0,1,0.151
3,27,0,2,0.124
3,27,0,3,0.103
3,27,0,4,0.128
