layer,head,program_idx,sentence_idx,iou_score
0,0,9,0,0.762
0,0,9,1,0.762
0,0,9,2,0.774
0,0,9,3,0.785
0,0,9,4,0.786
0,0,62,0,0.759
0,0,62,1,0.763
0,0,62,2,0.773
0,0,62,3,0.782
0,0,62,4,0.786
0,0,70,0,0.915
0,0,70,1,0.911
0,0,70,2,0.925
0,0,70,3,0.922
0,0,70,4,0.921
0,1,9,0,0.754
0,1,9,1,0.763
0,1,9,2,0.763
0,1,9,3,0.777
0,1,9,4,0.791
0,1,62,0,0.761
0,1,62,1,0.77
0,1,62,2,0.769
0,1,62,3,0.785
0,1,62,4,0.798
0,1,70,0,0.913
0,1,70,1,0.911
0,1,70,2,0.912
0,1,70,3,0.921
0,1,70,4,0.925
0,2,9,0,0.771
0,2,9,1,0.773
0,2,9,2,0.779
0,2,9,3,0.785
0,2,9,4,0.788
0,2,62,0,0.785
0,2,62,1,0.786
0,2,62,2,0.794
0,2,62,3,0.797
0,2,62,4,0.799
0,2,70,0,0.907
0,2,70,1,0.883
0,2,70,2,0.918
0,2,70,3,0.904
0,2,70,4,0.894
0,3,9,0,0.775
0,3,9,1,0.783
0,3,9,2,0.781
0,3,9,3,0.794
0,3,9,4,0.803
0,3,62,0,0.784
0,3,62,1,0.791
0,3,62,2,0.791
0,3,62,3,0.803
0,3,62,4,0.811
0,3,70,0,0.94
0,3,70,1,0.925
0,3,70,2,0.952
0,3,70,3,0.94
0,3,70,4,0.94
0,4,9,0,0.779
0,4,9,1,0.79
0,4,9,2,0.784
0,4,9,3,0.8
0,4,9,4,0.81
0,4,62,0,0.792
0,4,62,1,0.801
0,4,62,2,0.797
0,4,62,3,0.811
0,4,62,4,0.82
0,4,70,0,0.96
0,4,70,1,0.952
0,4,70,2,0.967
0,4,70,3,0.962
0,4,70,4,0.956
0,5,9,0,0.78
0,5,9,1,0.79
0,5,9,2,0.787
0,5,9,3,0.803
0,5,9,4,0.809
0,5,62,0,0.793
0,5,62,1,0.802
0,5,62,2,0.801
0,5,62,3,0.814
0,5,62,4,0.82
0,5,70,0,0.947
0,5,70,1,0.933
0,5,70,2,0.953
0,5,70,3,0.948
0,5,70,4,0.944
0,6,9,0,0.763
0,6,9,1,0.759
0,6,9,2,0.772
0,6,9,3,0.78
0,6,9,4,0.79
0,6,62,0,0.769
0,6,62,1,0.765
0,6,62,2,0.78
0,6,62,3,0.786
0,6,62,4,0.795
0,6,70,0,0.924
0,6,70,1,0.897
0,6,70,2,0.935
0,6,70,3,0.92
0,6,70,4,0.921
0,7,9,0,0.78
0,7,9,1,0.792
0,7,9,2,0.783
0,7,9,3,0.801
0,7,9,4,0.81
0,7,62,0,0.792
0,7,62,1,0.803
0,7,62,2,0.793
0,7,62,3,0.812
0,7,62,4,0.82
0,7,70,0,0.951
0,7,70,1,0.94
0,7,70,2,0.943
0,7,70,3,0.951
0,7,70,4,0.947
0,8,9,0,0.723
0,8,9,1,0.719
0,8,9,2,0.721
0,8,9,3,0.748
0,8,9,4,0.735
0,8,62,0,0.729
0,8,62,1,0.725
0,8,62,2,0.728
