k,head,program,strategy,increase,spike
1,"(2, 0)",next_attention,smart,2.3420678314979897,False
2,"(8, 2)",emphasize_verbs_and_objects,smart,2.4239105390832076,False
3,"(1, 6)",sentence_beginning_salience,smart,2.202421355149734,False
4,"(5, 1)",emphasize_verbs_and_objects,smart,2.8294041586174385,False
5,"(0, 0)",parenthetical_insertion,smart,2.6912165316301255,False
6,"(7, 6)",emphasize_verbs_and_objects,smart,3.14679808713282,False
7,"(8, 6)",emphasize_verbs_and_objects,smart,3.6178517291871373,False
8,"(4, 3)",emphasize_verbs_and_objects,smart,4.03550501925973,False
9,"(7, 7)",emphasize_verbs_and_objects,smart,4.2488633206045066,False
10,"(0, 4)",parenthetical_insertion,smart,4.267758426353765,False
11,"(8, 5)",emphasize_verbs_and_objects,smart,6.500436677656168,False
12,"(7, 11)",emphasize_verbs_and_objects,smart,6.676398661238122,False
13,"(7, 3)",emphasize_verbs_and_objects,smart,8.192243584337712,False
14,"(5, 6)",emphasize_verbs_and_objects,smart,9.08404781943646,False
15,"(9, 9)",emphasize_verbs_and_objects,smart,11.413219286460535,False
16,"(6, 3)",emphasize_verbs_and_objects,smart,14.663597400538341,False
17,"(5, 5)",emphasize_verbs_and_objects,smart,12.51916670626305,False
18,"(1, 9)",relative_position_attention,smart,12.435088067781626,False
19,"(3, 5)",previous_attention,smart,14.305211267858482,False
20,"(0, 6)",parenthetical_insertion,smart,14.20215352881958,False
21,"(8, 4)",emphasize_verbs_and_objects,smart,15.785558913787224,False
22,"(9, 7)",emphasize_verbs_and_objects,smart,17.131197613092617,False
23,"(9, 4)",emphasize_verbs_and_objects,smart,18.543233778862618,False
24,"(6, 0)",emphasize_verbs_and_objects,smart,18.576951022925584,False
25,"(8, 0)",emphasize_verbs_and_objects,smart,17.317815538325878,False
26,"(1, 8)",relative_position_attention,smart,17.429691671429662,False
27,"(5, 11)",emphasize_verbs_and_objects,smart,16.971350261051917,False
28,"(6, 1)",emphasize_verbs_and_objects,smart,18.42120433619246,False
29,"(3, 7)",relative_position_attention,smart,18.0606867609092,False
30,"(2, 3)",relative_position_attention,smart,17.967299481826053,False
31,"(0, 9)",relative_position_attention,smart,17.722202409765384,False
32,"(9, 6)",emphasize_verbs_and_objects,smart,18.054576398232925,False
33,"(2, 2)",sentence_level_attention,smart,17.694764036125605,False
34,"(8, 10)",emphasize_verbs_and_objects,smart,23.076455206003622,False
35,"(3, 1)",relative_position_attention,smart,22.8467427142729,False
36,"(5, 2)",emphasize_verbs_and_objects,smart,23.865800883940118,False
37,"(4, 7)",emphasize_verbs_and_objects,smart,27.44925464664899,False
38,"(0, 7)",parenthetical_insertion,smart,27.322785091297156,False
39,"(9, 3)",emphasize_verbs_and_objects,smart,29.770730176870494,False
40,"(1, 4)",previous_attention,smart,77.45968641221113,False
41,"(6, 4)",emphasize_verbs_and_objects,smart,86.36735902722917,False
