layer,head,program_idx,sentence_idx,iou_score
0,0,0,0,0.65
0,0,0,1,0.683
0,0,0,2,0.61
0,0,0,3,0.523
0,0,0,4,0.607
0,1,0,0,0.451
0,1,0,1,0.407
0,1,0,2,0.34
0,1,0,3,0.319
0,1,0,4,0.367
0,2,0,0,0.231
0,2,0,1,0.202
0,2,0,2,0.186
0,2,0,3,0.151
0,2,0,4,0.167
0,3,0,0,0.18
0,3,0,1,0.165
0,3,0,2,0.17
0,3,0,3,0.136
0,3,0,4,0.176
0,4,0,0,0.641
0,4,0,1,0.645
0,4,0,2,0.568
0,4,0,3,0.528
0,4,0,4,0.613
0,5,0,0,0.448
0,5,0,1,0.458
0,5,0,2,0.41
0,5,0,3,0.354
0,5,0,4,0.432
0,6,0,0,0.51
0,6,0,1,0.549
0,6,0,2,0.472
0,6,0,3,0.492
0,6,0,4,0.595
0,7,0,0,0.416
0,7,0,1,0.467
0,7,0,2,0.427
0,7,0,3,0.408
0,7,0,4,0.467
0,8,0,0,0.409
0,8,0,1,0.44
0,8,0,2,0.411
0,8,0,3,0.376
0,8,0,4,0.436
0,9,0,0,0.47
0,9,0,1,0.48
0,9,0,2,0.402
0,9,0,3,0.389
0,9,0,4,0.493
0,10,0,0,0.174
0,10,0,1,0.139
0,10,0,2,0.144
0,10,0,3,0.104
0,10,0,4,0.13
0,11,0,0,0.374
0,11,0,1,0.37
0,11,0,2,0.363
0,11,0,3,0.317
0,11,0,4,0.357
1,0,0,0,0.38
1,0,0,1,0.388
1,0,0,2,0.323
1,0,0,3,0.24
1,0,0,4,0.335
1,1,0,0,0.137
1,1,0,1,0.133
1,1,0,2,0.115
1,1,0,3,0.091
1,1,0,4,0.109
1,2,0,0,0.417
1,2,0,1,0.293
1,2,0,2,0.36
1,2,0,3,0.252
1,2,0,4,0.383
1,3,0,0,0.459
1,3,0,1,0.324
1,3,0,2,0.317
1,3,0,3,0.248
1,3,0,4,0.387
1,4,0,0,0.124
1,4,0,1,0.107
1,4,0,2,0.114
1,4,0,3,0.084
1,4,0,4,0.101
1,5,0,0,0.379
1,5,0,1,0.396
1,5,0,2,0.308
1,5,0,3,0.229
1,5,0,4,0.279
1,6,0,0,0.142
1,6,0,1,0.123
1,6,0,2,0.128
1,6,0,3,0.104
1,6,0,4,0.109
1,7,0,0,0.495
1,7,0,1,0.46
1,7,0,2,0.33
1,7,0,3,0.257
1,7,0,4,0.509
1,8,0,0,0.502
1,8,0,1,0.462
1,8,0,2,0.381
1,8,0,3,0.352
1,8,0,4,0.406
1,9,0,0,0.421
1,9,0,1,0.385
1,9,0,2,0.364
1,9,0,3,0.277
1,9,0,4,0.391
1,10,0,0,0.352
1,10,0,1,0.32
1,10,0,2,0.295
1,10,0,3,0.229
1,10,0,4,0.286
1,11,0,0,0.382
1,11,0,1,0.382
1,11,0,2,0.303
1,11,0,3,0.255
1,11,0,4,0.318
2,0,0,0,0.104
2,0,0,1,0.086
2,0,0,2,0.091
2,0,0,3,0.072
2,0,0,4,0.077
2,1,0,0,0.222
2,1,0,1,0.197
2,1,0,2,0.193
2,1,0,3,0.141
2,1,0,4,0.174
2,2,0,0,0.25
2,2,0,1,0.211
2,2,0,2,0.206
2,2,0,3,0.177
2,2,0,4,0.23
2,3,0,0,0.369
2,3,0,1,0.303
2,3,0,2,0.348
2,3,0,3,0.323
2,3,0,4,0.428
2,4,0,0,0.304
2,4,0,1,0.314
2,4,0,2,0.246
2,4,0,3,0.271
2,4,0,4,0.365
2,5,0,0,0.468
2,5,0,1,0.506
2,5,0,2,0.396
2,5,0,3,0.378
2,5,0,4,0.374
2,6,0,0,0.245
2,6,0,1,0.207
2,6,0,2,0.153
2,6,0,3,0.145
2,6,0,4,0.169
2,7,0,0,0.46
2,7,0,1,0.408
2,7,0,2,0.336
2,7,0,3,0.322
2,7,0,4,0.416
2,8,0,0,0.421
2,8,0,1,0.366
2,8,0,2,0.314
2,8,0,3,0.281
2,8,0,4,0.29
2,9,0,0,0.093
2,9,0,1,0.078
2,9,0,2,0.085
2,9,0,3,0.062
2,9,0,4,0.072
2,10,0,0,0.271
2,10,0,1,0.3
2,10,0,2,0.291
2,10,0,3,0.219
2,10,0,4,0.344
2,11,0,0,0.474
2,11,0,1,0.434
2,11,0,2,0.339
2,11,0,3,0.307
2,11,0,4,0.369
3,0,0,0,0.15
3,0,0,1,0.142
3,0,0,2,0.113
3,0,0,3,0.093
3,0,0,4,0.101
3,1,0,0,0.448
3,1,0,1,0.488
3,1,0,2,0.367
3,1,0,3,0.365
3,1,0,4,0.451
3,2,0,0,0.282
3,2,0,1,0.248
3,2,0,2,0.203
3,2,0,3,0.149
3,2,0,4,0.197
3,3,0,0,0.246
3,3,0,1,0.217
3,3,0,2,0.22
3,3,0,3,0.183
3,3,0,4,0.211
3,4,0,0,0.278
3,4,0,1,0.312
3,4,0,2,0.292
3,4,0,3,0.242
3,4,0,4,0.319
3,5,0,0,0.129
3,5,0,1,0.12
3,5,0,2,0.119
3,5,0,3,0.089
3,5,0,4,0.11
3,6,0,0,0.361
3,6,0,1,0.35
3,6,0,2,0.256
3,6,0,3,0.246
3,6,0,4,0.256
3,7,0,0,0.396
3,7,0,1,0.31
3,7,0,2,0.31
3,7,0,3,0.315
3,7,0,4,0.345
3,8,0,0,0.358
3,8,0,1,0.344
3,8,0,2,0.275
3,8,0,3,0.284
3,8,0,4,0.349
3,9,0,0,0.152
3,9,0,1,0.139
3,9,0,2,0.15
3,9,0,3,0.112
3,9,0,4,0.125
3,10,0,0,0.281
3,10,0,1,0.321
3,10,0,2,0.272
3,10,0,3,0.265
3,10,0,4,0.288
3,11,0,0,0.23
3,11,0,1,0.209
3,11,0,2,0.215
3,11,0,3,0.18
3,11,0,4,0.193
4,0,0,0,0.138
4,0,0,1,0.169
4,0,0,2,0.165
4,0,0,3,0.193
4,0,0,4,0.215
4,1,0,0,0.392
4,1,0,1,0.434
4,1,0,2,0.43
4,1,0,3,0.356
4,1,0,4,0.408
4,2,0,0,0.223
4,2,0,1,0.192
4,2,0,2,0.182
4,2,0,3,0.155
4,2,0,4,0.221
4,3,0,0,0.068
4,3,0,1,0.085
4,3,0,2,0.052
4,3,0,3,0.064
4,3,0,4,0.074
4,4,0,0,0.288
4,4,0,1,0.267
4,4,0,2,0.16
4,4,0,3,0.289
4,4,0,4,0.328
4,5,0,0,0.153
4,5,0,1,0.15
4,5,0,2,0.148
4,5,0,3,0.144
4,5,0,4,0.145
4,6,0,0,0.216
4,6,0,1,0.265
4,6,0,2,0.176
4,6,0,3,0.211
4,6,0,4,0.219
4,7,0,0,0.114
4,7,0,1,0.117
4,7,0,2,0.096
4,7,0,3,0.094
4,7,0,4,0.112
4,8,0,0,0.222
4,8,0,1,0.187
4,8,0,2,0.19
4,8,0,3,0.173
4,8,0,4,0.153
4,9,0,0,0.294
4,9,0,1,0.305
4,9,0,2,0.211
4,9,0,3,0.257
4,9,0,4,0.279
4,10,0,0,0.22
4,10,0,1,0.179
4,10,0,2,0.179
4,10,0,3,0.166
4,10,0,4,0.195
4,11,0,0,0.094
4,11,0,1,0.095
4,11,0,2,0.107
4,11,0,3,0.084
4,11,0,4,0.103
5,0,0,0,0.157
5,0,0,1,0.159
5,0,0,2,0.134
5,0,0,3,0.112
5,0,0,4,0.133
5,1,0,0,0.07
5,1,0,1,0.074
5,1,0,2,0.055
5,1,0,3,0.056
5,1,0,4,0.073
5,2,0,0,0.243
5,2,0,1,0.217
5,2,0,2,0.241
5,2,0,3,0.177
5,2,0,4,0.215
5,3,0,0,0.188
5,3,0,1,0.192
5,3,0,2,0.167
5,3,0,3,0.153
5,3,0,4,0.18
5,4,0,0,0.301
5,4,0,1,0.302
5,4,0,2,0.219
5,4,0,3,0.241
5,4,0,4,0.249
5,5,0,0,0.112
5,5,0,1,0.15
5,5,0,2,0.092
5,5,0,3,0.121
5,5,0,4,0.141
5,6,0,0,0.082
5,6,0,1,0.087
5,6,0,2,0.072
5,6,0,3,0.063
5,6,0,4,0.076
5,7,0,0,0.122
5,7,0,1,0.133
5,7,0,2,0.102
5,7,0,3,0.105
5,7,0,4,0.092
5,8,0,0,0.211
5,8,0,1,0.251
5,8,0,2,0.2
5,8,0,3,0.175
5,8,0,4,0.208
5,9,0,0,0.078
5,9,0,1,0.075
5,9,0,2,0.071
5,9,0,3,0.058
5,9,0,4,0.077
5,10,0,0,0.136
5,10,0,1,0.136
5,10,0,2,0.132
5,10,0,3,0.112
5,10,0,4,0.132
5,11,0,0,0.114
5,11,0,1,0.165
5,11,0,2,0.109
5,11,0,3,0.121
5,11,0,4,0.145
6,0,0,0,0.134
6,0,0,1,0.139
6,0,0,2,0.094
6,0,0,3,0.138
6,0,0,4,0.143
6,1,0,0,0.22
6,1,0,1,0.155
6,1,0,2,0.161
6,1,0,3,0.126
6,1,0,4,0.127
6,2,0,0,0.165
6,2,0,1,0.201
6,2,0,2,0.16
6,2,0,3,0.126
6,2,0,4,0.144
6,3,0,0,0.082
6,3,0,1,0.098
6,3,0,2,0.086
6,3,0,3,0.059
6,3,0,4,0.075
6,4,0,0,0.132
6,4,0,1,0.142
6,4,0,2,0.099
6,4,0,3,0.101
6,4,0,4,0.145
6,5,0,0,0.137
6,5,0,1,0.183
6,5,0,2,0.125
6,5,0,3,0.128
6,5,0,4,0.153
6,6,0,0,0.118
6,6,0,1,0.143
6,6,0,2,0.115
6,6,0,3,0.089
6,6,0,4,0.12
6,7,0,0,0.359
6,7,0,1,0.375
6,7,0,2,0.25
6,7,0,3,0.28
6,7,0,4,0.284
6,8,0,0,0.231
6,8,0,1,0.207
6,8,0,2,0.142
6,8,0,3,0.184
6,8,0,4,0.171
6,9,0,0,0.148
6,9,0,1,0.171
6,9,0,2,0.13
6,9,0,3,0.109
6,9,0,4,0.127
6,10,0,0,0.136
6,10,0,1,0.14
6,10,0,2,0.1
6,10,0,3,0.098
6,10,0,4,0.123
6,11,0,0,0.079
6,11,0,1,0.08
6,11,0,2,0.088
6,11,0,3,0.06
6,11,0,4,0.079
7,0,0,0,0.224
7,0,0,1,0.247
7,0,0,2,0.199
7,0,0,3,0.165
7,0,0,4,0.199
7,1,0,0,0.174
7,1,0,1,0.189
7,1,0,2,0.139
7,1,0,3,0.133
7,1,0,4,0.147
7,2,0,0,0.128
7,2,0,1,0.166
7,2,0,2,0.112
7,2,0,3,0.103
7,2,0,4,0.124
7,3,0,0,0.099
7,3,0,1,0.127
7,3,0,2,0.129
7,3,0,3,0.072
7,3,0,4,0.07
7,4,0,0,0.095
7,4,0,1,0.097
7,4,0,2,0.096
7,4,0,3,0.074
7,4,0,4,0.103
7,5,0,0,0.246
7,5,0,1,0.193
7,5,0,2,0.247
7,5,0,3,0.166
7,5,0,4,0.223
7,6,0,0,0.078
7,6,0,1,0.106
7,6,0,2,0.088
7,6,0,3,0.078
7,6,0,4,0.065
7,7,0,0,0.076
7,7,0,1,0.1
7,7,0,2,0.078
7,7,0,3,0.063
7,7,0,4,0.078
7,8,0,0,0.234
7,8,0,1,0.218
7,8,0,2,0.193
7,8,0,3,0.138
7,8,0,4,0.227
7,9,0,0,0.131
7,9,0,1,0.165
7,9,0,2,0.101
7,9,0,3,0.122
7,9,0,4,0.148
7,10,0,0,0.122
7,10,0,1,0.144
7,10,0,2,0.093
7,10,0,3,0.128
7,10,0,4,0.132
7,11,0,0,0.084
7,11,0,1,0.106
7,11,0,2,0.096
7,11,0,3,0.071
7,11,0,4,0.087
8,0,0,0,0.162
8,0,0,1,0.159
8,0,0,2,0.155
8,0,0,3,0.095
8,0,0,4,0.118
8,1,0,0,0.232
8,1,0,1,0.264
8,1,0,2,0.248
8,1,0,3,0.212
8,1,0,4,0.202
8,2,0,0,0.051
8,2,0,1,0.066
8,2,0,2,0.065
8,2,0,3,0.061
8,2,0,4,0.062
8,3,0,0,0.247
8,3,0,1,0.262
8,3,0,2,0.214
8,3,0,3,0.125
8,3,0,4,0.154
8,4,0,0,0.139
8,4,0,1,0.145
8,4,0,2,0.147
8,4,0,3,0.079
8,4,0,4,0.111
8,5,0,0,0.084
8,5,0,1,0.136
8,5,0,2,0.093
8,5,0,3,0.087
8,5,0,4,0.111
8,6,0,0,0.073
8,6,0,1,0.132
8,6,0,2,0.08
8,6,0,3,0.074
8,6,0,4,0.118
8,7,0,0,0.356
8,7,0,1,0.341
8,7,0,2,0.234
8,7,0,3,0.253
8,7,0,4,0.307
8,8,0,0,0.364
8,8,0,1,0.372
8,8,0,2,0.338
8,8,0,3,0.306
8,8,0,4,0.313
8,9,0,0,0.262
8,9,0,1,0.221
8,9,0,2,0.202
8,9,0,3,0.175
8,9,0,4,0.249
8,10,0,0,0.169
8,10,0,1,0.139
8,10,0,2,0.106
8,10,0,3,0.086
8,10,0,4,0.157
8,11,0,0,0.214
8,11,0,1,0.202
8,11,0,2,0.151
8,11,0,3,0.147
8,11,0,4,0.191
9,0,0,0,0.183
9,0,0,1,0.14
9,0,0,2,0.184
9,0,0,3,0.134
9,0,0,4,0.168
9,1,0,0,0.161
9,1,0,1,0.147
9,1,0,2,0.184
9,1,0,3,0.118
9,1,0,4,0.158
9,2,0,0,0.238
9,2,0,1,0.205
9,2,0,2,0.242
9,2,0,3,0.168
9,2,0,4,0.19
9,3,0,0,0.142
9,3,0,1,0.17
9,3,0,2,0.159
9,3,0,3,0.134
9,3,0,4,0.173
9,4,0,0,0.118
9,4,0,1,0.123
9,4,0,2,0.211
9,4,0,3,0.098
9,4,0,4,0.12
9,5,0,0,0.231
9,5,0,1,0.258
9,5,0,2,0.315
9,5,0,3,0.201
9,5,0,4,0.308
9,6,0,0,0.127
9,6,0,1,0.111
9,6,0,2,0.121
9,6,0,3,0.14
9,6,0,4,0.143
9,7,0,0,0.088
9,7,0,1,0.097
9,7,0,2,0.124
9,7,0,3,0.096
9,7,0,4,0.161
9,8,0,0,0.301
9,8,0,1,0.242
9,8,0,2,0.247
9,8,0,3,0.24
9,8,0,4,0.26
9,9,0,0,0.14
9,9,0,1,0.125
9,9,0,2,0.136
9,9,0,3,0.112
9,9,0,4,0.138
9,10,0,0,0.298
9,10,0,1,0.278
9,10,0,2,0.299
9,10,0,3,0.213
9,10,0,4,0.257
9,11,0,0,0.194
9,11,0,1,0.185
9,11,0,2,0.234
9,11,0,3,0.131
9,11,0,4,0.23
10,0,0,0,0.357
10,0,0,1,0.269
10,0,0,2,0.253
10,0,0,3,0.229
10,0,0,4,0.316
10,1,0,0,0.102
10,1,0,1,0.089
10,1,0,2,0.065
10,1,0,3,0.064
10,1,0,4,0.106
10,2,0,0,0.209
10,2,0,1,0.174
10,2,0,2,0.168
10,2,0,3,0.107
10,2,0,4,0.151
10,3,0,0,0.152
10,3,0,1,0.207
10,3,0,2,0.157
10,3,0,3,0.153
10,3,0,4,0.254
10,4,0,0,0.096
10,4,0,1,0.119
10,4,0,2,0.167
10,4,0,3,0.099
10,4,0,4,0.192
10,5,0,0,0.085
10,5,0,1,0.11
10,5,0,2,0.093
10,5,0,3,0.106
10,5,0,4,0.111
10,6,0,0,0.139
10,6,0,1,0.138
10,6,0,2,0.096
10,6,0,3,0.127
10,6,0,4,0.183
10,7,0,0,0.131
10,7,0,1,0.203
10,7,0,2,0.212
10,7,0,3,0.148
10,7,0,4,0.204
10,8,0,0,0.287
10,8,0,1,0.221
10,8,0,2,0.163
10,8,0,3,0.122
10,8,0,4,0.191
10,9,0,0,0.101
10,9,0,1,0.114
10,9,0,2,0.109
10,9,0,3,0.085
10,9,0,4,0.124
10,10,0,0,0.189
10,10,0,1,0.166
10,10,0,2,0.124
10,10,0,3,0.139
10,10,0,4,0.143
10,11,0,0,0.157
10,11,0,1,0.19
10,11,0,2,0.196
10,11,0,3,0.12
10,11,0,4,0.19
11,0,0,0,0.081
11,0,0,1,0.131
11,0,0,2,0.145
11,0,0,3,0.084
11,0,0,4,0.144
11,1,0,0,0.181
11,1,0,1,0.149
11,1,0,2,0.173
11,1,0,3,0.085
11,1,0,4,0.107
11,2,0,0,0.441
11,2,0,1,0.319
11,2,0,2,0.246
11,2,0,3,0.264
11,2,0,4,0.345
11,3,0,0,0.1
11,3,0,1,0.135
11,3,0,2,0.112
11,3,0,3,0.112
11,3,0,4,0.126
11,4,0,0,0.078
