layer,head,program_idx,sentence_idx,iou_score
0,0,2,0,0.472
0,0,2,1,0.34
0,0,2,2,0.512
0,0,2,3,0.456
0,0,2,4,0.455
0,0,14,0,0.448
0,0,14,1,0.308
0,0,14,2,0.493
0,0,14,3,0.423
0,0,14,4,0.423
0,0,18,0,0.472
0,0,18,1,0.34
0,0,18,2,0.512
0,0,18,3,0.456
0,0,18,4,0.455
0,0,20,0,0.43
0,0,20,1,0.303
0,0,20,2,0.467
0,0,20,3,0.418
0,0,20,4,0.419
0,0,22,0,0.43
0,0,22,1,0.303
0,0,22,2,0.467
0,0,22,3,0.418
0,0,22,4,0.418
0,0,23,0,0.473
0,0,23,1,0.342
0,0,23,2,0.513
0,0,23,3,0.457
0,0,23,4,0.456
0,0,24,0,0.472
0,0,24,1,0.34
0,0,24,2,0.512
0,0,24,3,0.456
0,0,24,4,0.455
0,0,25,0,0.431
0,0,25,1,0.304
0,0,25,2,0.469
0,0,25,3,0.419
0,0,25,4,0.42
0,0,26,0,0.06
0,0,26,1,0.307
0,0,26,2,0.469
0,0,26,3,0.42
0,0,26,4,0.42
0,0,27,0,0.473
0,0,27,1,0.341
0,0,27,2,0.513
0,0,27,3,0.457
0,0,27,4,0.456
0,0,28,0,0.472
0,0,28,1,0.34
0,0,28,2,0.512
0,0,28,3,0.456
0,0,28,4,0.455
0,0,30,0,0.473
0,0,30,1,0.341
0,0,30,2,0.513
0,0,30,3,0.457
0,0,30,4,0.456
0,0,31,0,0.429
0,0,31,1,0.302
0,0,31,2,0.466
0,0,31,3,0.417
0,0,31,4,0.418
0,0,32,0,0.472
0,0,32,1,0.34
0,0,32,2,0.512
0,0,32,3,0.456
0,0,32,4,0.455
0,0,33,0,0.478
0,0,33,1,0.375
0,0,33,2,0.509
0,0,33,3,0.468
0,0,33,4,0.46
0,0,36,0,0.472
0,0,36,1,0.34
0,0,36,2,0.512
0,0,36,3,0.456
0,0,36,4,0.455
0,0,52,0,0.496
0,0,52,1,0.371
0,0,52,2,0.532
0,0,52,3,0.479
0,0,52,4,0.477
0,0,53,0,0.431
0,0,53,1,0.304
0,0,53,2,0.469
0,0,53,3,0.419
0,0,53,4,0.42
0,0,54,0,0.43
0,0,54,1,0.303
0,0,54,2,0.467
0,0,54,3,0.418
0,0,54,4,0.418
0,0,55,0,0.476
0,0,55,1,0.343
0,0,55,2,0.515
0,0,55,3,0.459
0,0,55,4,0.459
0,0,56,0,0.458
0,0,56,1,0.34
0,0,56,2,0.475
0,0,56,3,0.432
0,0,56,4,0.43
0,0,58,0,0.472
0,0,58,1,0.34
0,0,58,2,0.512
0,0,58,3,0.456
0,0,58,4,0.455
0,0,59,0,0.447
0,0,59,1,0.33
0,0,59,2,0.482
0,0,59,3,0.433
0,0,59,4,0.432
0,0,60,0,0.43
0,0,60,1,0.303
0,0,60,2,0.467
0,0,60,3,0.418
0,0,60,4,0.418
0,0,61,0,0.431
0,0,61,1,0.304
0,0,61,2,0.468
0,0,61,3,0.419
0,0,61,4,0.42
0,0,64,0,0.473
0,0,64,1,0.341
0,0,64,2,0.513
0,0,64,3,0.457
0,0,64,4,0.456
0,0,67,0,0.429
0,0,67,1,0.302
0,0,67,2,0.466
0,0,67,3,0.417
0,0,67,4,0.418
0,0,68,0,0.486
0,0,68,1,0.371
0,0,68,2,0.522
0,0,68,3,0.479
0,0,68,4,0.47
0,1,13,0,0.145
0,1,13,1,0.169
0,1,13,2,0.162
0,1,13,3,0.155
0,1,13,4,0.158
0,1,40,0,0.045
0,1,40,1,0.041
0,1,40,2,0.048
0,1,40,3,0.041
0,1,40,4,0.039
0,1,44,0,0.434
0,1,44,1,0.453
0,1,44,2,0.431
0,1,44,3,0.47
0,1,44,4,0.438
0,2,2,0,0.801
0,2,2,1,0.744
0,2,2,2,0.769
0,2,2,3,0.788
0,2,2,4,0.682
0,2,14,0,0.765
0,2,14,1,0.712
0,2,14,2,0.735
